ISIN;null
Начальная дата;21.10.2023
Конечная дата;06.11.2023

ISIN;Полное наименование ЦБ;Объем эмиссии (млн);Дата;Номинал;Валюта номинала;Непогашенный номинал;Ставка купона,  % годовых;Размер выплаты;Размер выплаты, руб.*
RU000A0NNEC8;Банк ВТБ (ПАО) Б-1-190;433,294;01.11.2023;1000;RUB;1000;0,01;0,05;0,05
RU000A0JXQQ9;ООО АРАГОН об.;1000;01.11.2023;1000;RUB;1000;13,5;33,66;33,66
RU000A0JWGD0;ПАО "АНК "Башнефть" БО-08;5000;01.11.2023;1000;RUB;1000;10,9;54,35;54,35
RU000A0JV805;"Россельхозбанк" (АО) БО-08;10000;01.11.2023;1000;RUB;1000;8,4;20,94;20,94
RU000A0JTZF1;ДОМ.РФ (АО) обл. сер.А26;6000;01.11.2023;1000;RUB;1000;8,35;21,05;21,05
RU000A106MW0;ПАО "ТГК-14" 001Р-02;1950;31.10.2023;1000;RUB;1000;12,85;32,04;32,04
RU000A106MV2;МГКЛ 001Р-04;300;31.10.2023;1000;RUB;1000;16;39,89;39,89
RU000A1061K1;ЕвроТранс БО-001Р-03;5000;31.10.2023;1000;RUB;1000;13,6;11,18;11,18
RU000A105CM4;ХК Новотранс 001P-03;28500;31.10.2023;1000;RUB;1000;11,7;29,17;29,17
RU000A1050X7;НИКА 001Р-01;300;31.10.2023;1000;RUB;1000;15;37,4;37,4
RU000A102B97;Вита Лайн 001Р-02;500;31.10.2023;1000;RUB;1000;9,75;24,31;24,31
RU000A102B48;ЯТЭК 001Р-01;4000;31.10.2023;1000;RUB;1000;8,5;42,38;42,38
RU000A101012;АФК Система БО 001P-12;10000;31.10.2023;1000;RUB;1000;7,85;39,14;39,14
RU000A100PB0;ГУП ЖКХ РС (Я) БО-01;3000;31.10.2023;1000;RUB;1000;13,25;33,03;33,03
RU000A0ZYR91;ГТЛК БО 001Р-08;10000;31.10.2023;1000;RUB;1000;11,32;28,22;28,22
RU000A0ZYEE5;ГПБ (АО) БО-17;10000;31.10.2023;1000;RUB;1000;8,15;41,08;41,08
RU000A0JU2L7;ФСК Россети(ПАО)-обл. сер.27;11000;31.10.2023;1000;RUB;1000;4,25;10,6;10,6
